ok,status,latency_ms,tokens_generated
True,200,51580.65748214722,150
True,200,3477.6625633239746,150
True,200,3394.8776721954346,150
True,200,3490.8876419067383,150
True,200,3455.4150104522705,150
True,200,3454.8141956329346,150
True,200,3508.5043907165527,150
True,200,3480.0267219543457,150
True,200,3380.5184364318848,150
True,200,3481.63104057312,150
True,200,3372.143030166626,150
True,200,3488.213539123535,150
True,200,3420.4375743865967,150
True,200,3449.4857788085938,150
True,200,3614.3245697021484,150
True,200,3505.479574203491,150
True,200,3418.245315551758,150
True,200,3479.543924331665,150
True,200,3447.7224349975586,150
True,200,3517.622709274292,150
True,200,3327.69775390625,150
True,200,6808.009624481201,150
True,200,10338.117599487305,150
True,200,13891.433954238892,150
True,200,13822.644233703613,150
True,200,13807.14464187622,150
True,200,13775.735139846802,150
True,200,13629.260301589966,150
True,200,13814.446449279785,150
True,200,13956.944704055786,150
True,200,14016.236066818237,150
True,200,14055.084943771362,150
True,200,14044.756889343262,150
True,200,13912.205934524536,150
True,200,13835.981369018555,150
True,200,13759.284734725952,150
True,200,13784.139633178711,150
True,200,13823.88949394226,150
True,200,13834.919452667236,150
True,200,13937.026262283325,150
True,200,3427.59108543396,150
True,200,6807.344913482666,150
True,200,10382.270336151123,150
True,200,13870.229005813599,150
True,200,17250.68688392639,150
True,200,20630.017042160034,150
True,200,24038.41519355774,150
True,200,27596.097469329834,150
True,200,27545.7923412323,150
True,200,27674.33190345764,150
True,200,27606.3551902771,150
True,200,24883.815050125122,150
True,200,24166.435718536377,150
True,200,23564.839363098145,150
True,200,20807.33013153076,150
True,200,20066.855430603027,150
True,200,17408.177137374878,150
True,200,16639.402151107788,150
True,200,16645.39670944214,150
True,200,19250.664472579956,150
