ok,status,latency_ms,tokens_generated
True,200,4905.533790588379,150
True,200,7991.801023483276,150
True,200,6352.73814201355,150
True,200,6515.439748764038,150
True,200,6458.299160003662,150
True,200,6570.81151008606,150
True,200,6653.370141983032,150
True,200,6554.843187332153,150
True,200,7018.486738204956,150
True,200,6883.361101150513,150
True,200,6336.7931842803955,150
True,200,6545.371294021606,150
True,200,6559.030771255493,150
True,200,6592.059135437012,150
True,200,6664.43943977356,150
True,200,6596.251010894775,150
True,200,6644.842624664307,150
True,200,7563.645362854004,150
True,200,7464.88881111145,150
True,200,6478.407382965088,150
True,200,6307.339191436768,150
True,200,6562.528848648071,150
True,200,6503.003835678101,150
True,200,6284.239053726196,150
True,200,6452.394008636475,150
True,200,6391.716480255127,150
True,200,6409.42907333374,150
True,200,6495.443344116211,150
True,200,6613.106489181519,150
True,200,6520.944356918335,150
True,200,6432.567119598389,150
True,200,6751.668691635132,150
True,200,6669.519662857056,150
True,200,6205.732107162476,150
True,200,6386.718988418579,150
True,200,6669.289112091064,150
True,200,6516.053915023804,150
True,200,6338.375568389893,150
True,200,6369.822978973389,150
True,200,6449.486017227173,150
True,200,6481.913328170776,150
True,200,6619.904518127441,150
True,200,7514.520168304443,150
True,200,7380.7854652404785,150
True,200,6430.694103240967,150
True,200,6373.7523555755615,150
True,200,6447.037696838379,150
True,200,6508.660316467285,150
True,200,6459.15412902832,150
True,200,6468.8780307769775,150
True,200,6485.277414321899,150
True,200,6474.870204925537,150
True,200,6490.076541900635,150
True,200,6484.444856643677,150
True,200,6487.71595954895,150
True,200,6469.531536102295,150
True,200,6468.024015426636,150
True,200,6472.636461257935,150
True,200,6496.168613433838,150
True,200,6612.3950481414795,150
True,200,6599.157094955444,150
True,200,6463.173627853394,150
True,200,6428.61533164978,150
True,200,6426.510334014893,150
True,200,6478.659391403198,150
True,200,6503.854036331177,150
True,200,6423.153400421143,150
True,200,6462.574005126953,150
True,200,6461.434602737427,150
True,200,6455.3282260894775,150
True,200,6533.350706100464,150
True,200,6487.140417098999,150
True,200,6426.94091796875,150
True,200,6445.553302764893,150
True,200,6504.702091217041,150
True,200,6498.481512069702,150
True,200,6500.075578689575,150
True,200,6479.69651222229,150
True,200,6412.1994972229,150
True,200,6533.1711769104,150
True,200,6592.735052108765,150
True,200,6465.592861175537,150
True,200,6464.371919631958,150
True,200,6529.132843017578,150
True,200,6544.385194778442,150
True,200,6563.995361328125,150
True,200,6557.914018630981,150
True,200,6478.912591934204,150
True,200,6411.587476730347,150
True,200,6464.360237121582,150
True,200,6504.6210289001465,150
True,200,6432.416200637817,150
True,200,6458.460330963135,150
True,200,6477.9908657073975,150
True,200,6436.377763748169,150
True,200,6419.541835784912,150
True,200,6372.485637664795,150
True,200,6457.85117149353,150
True,200,6493.980646133423,150
True,200,6534.445762634277,150
True,200,6548.087120056152,150
True,200,6509.546518325806,150
True,200,6480.589866638184,150
True,200,6406.437397003174,150
True,200,6442.012071609497,150
True,200,6524.557113647461,150
True,200,6502.073287963867,150
True,200,6499.746084213257,150
True,200,6614.749431610107,150
True,200,6528.412580490112,150
True,200,6452.670335769653,150
True,200,6484.354019165039,150
True,200,6495.881080627441,150
True,200,6768.231630325317,150
True,200,7495.911121368408,150
True,200,7212.906122207642,150
True,200,6491.515159606934,150
True,200,6516.970157623291,150
True,200,6481.321573257446,150
True,200,6587.334632873535,150
True,200,7485.980987548828,150
True,200,7313.172817230225,150
True,200,6457.434892654419,150
True,200,6555.15456199646,150
True,200,6414.444208145142,150
True,200,6388.799428939819,150
True,200,6509.816646575928,150
True,200,6510.419130325317,150
True,200,6474.082946777344,150
True,200,6491.41263961792,150
True,200,6483.347654342651,150
True,200,6429.123640060425,150
True,200,6486.551761627197,150
True,200,6461.660861968994,150
True,200,6492.157220840454,150
True,200,6561.2452030181885,150
True,200,6502.7899742126465,150
True,200,6424.0522384643555,150
True,200,6465.923309326172,150
True,200,6551.883697509766,150
True,200,6455.848455429077,150
True,200,6492.889404296875,150
True,200,7480.713129043579,150
True,200,7353.269577026367,150
True,200,6681.142330169678,150
True,200,6447.756767272949,150
True,200,6180.759429931641,150
True,200,6464.088439941406,150
True,200,6549.026250839233,150
True,200,6618.905544281006,150
True,200,6463.151931762695,150
True,200,6285.248041152954,150
True,200,6462.738752365112,150
True,200,6559.063196182251,150
True,200,6447.20721244812,150
True,200,6426.424980163574,150
True,200,5710.930109024048,150
True,200,3255.600929260254,150
True,200,3433.227062225342,150
True,200,3301.9187450408936,150
True,200,3108.952283859253,150
True,200,3820.0137615203857,150
True,200,3099.238395690918,150
True,200,3408.766508102417,150
True,200,3442.5196647644043,150
True,200,3493.7963485717773,150
True,200,3518.174648284912,150
True,200,5061.137676239014,150
True,200,3605.4134368896484,150
True,200,3399.444818496704,150
True,200,3236.6034984588623,150
True,200,3444.1847801208496,150
True,200,5339.306592941284,150
True,200,3510.504722595215,150
True,200,6665.544033050537,150
True,200,6812.635183334351,150
True,200,6829.841613769531,150
True,200,6893.1684494018555,150
True,200,6900.322437286377,150
True,200,6883.904695510864,150
True,200,6933.5479736328125,150
True,200,6916.141033172607,150
True,200,6843.257188796997,150
True,200,6912.667036056519,150
True,200,6945.781469345093,150
True,200,6878.301620483398,150
True,200,6875.526189804077,150
True,200,6961.363077163696,150
True,200,6965.967655181885,150
True,200,6961.915493011475,150
True,200,6887.837171554565,150
True,200,6824.763298034668,150
True,200,6911.581754684448,150
True,200,6962.3072147369385,150
True,200,6929.343938827515,150
True,200,6906.960964202881,150
True,200,6965.045213699341,150
True,200,6882.727384567261,150
True,200,6969.4859981536865,150
True,200,6946.896553039551,150
True,200,7054.669380187988,150
True,200,6833.609342575073,150
True,200,6613.6744022369385,150
True,200,6912.140369415283,150
True,200,6889.6307945251465,150
True,200,6889.6284103393555,150
True,200,6901.371717453003,150
True,200,6915.566444396973,150
True,200,6925.283908843994,150
True,200,6882.983446121216,150
True,200,6880.662441253662,150
True,200,6893.831729888916,150
True,200,6901.846408843994,150
True,200,6896.186590194702,150
True,200,6910.7794761657715,150
True,200,6973.142385482788,150
True,200,5504.342794418335,64
True,200,5852.084159851074,150
True,200,7284.84034538269,150
True,200,6917.871713638306,150
True,200,6985.872745513916,150
True,200,6972.589015960693,150
True,200,6871.959209442139,150
True,200,6824.763774871826,150
True,200,6853.67226600647,150
True,200,6902.113437652588,150
True,200,6897.118091583252,150
True,200,6900.487661361694,150
True,200,6919.409513473511,150
True,200,6936.399698257446,150
True,200,6927.408695220947,150
True,200,6925.201416015625,150
True,200,6958.141088485718,150
True,200,6874.579668045044,150
True,200,6912.041187286377,150
True,200,6913.678884506226,150
True,200,6871.556758880615,150
True,200,6941.689729690552,150
True,200,6955.224514007568,150
True,200,6949.6009349823,150
True,200,6945.7995891571045,150
True,200,6891.618013381958,150
True,200,6885.185718536377,150
True,200,6927.784204483032,150
True,200,6916.087865829468,150
True,200,6896.206617355347,150
True,200,6893.9855098724365,150
True,200,6916.443347930908,150
True,200,6916.579008102417,150
True,200,6890.4523849487305,150
True,200,6850.489377975464,150
True,200,6961.604833602905,150
True,200,6975.855588912964,150
True,200,6913.813591003418,150
True,200,6892.595529556274,150
True,200,6871.347904205322,150
True,200,6929.721355438232,150
True,200,7026.070833206177,150
True,200,6857.8832149505615,150
True,200,6752.12287902832,150
True,200,6916.215419769287,150
True,200,6912.588119506836,150
True,200,6898.0958461761475,150
True,200,6909.882068634033,150
True,200,6861.643075942993,150
True,200,6840.70086479187,150
True,200,6895.401477813721,150
True,200,6998.98362159729,150
True,200,6992.082357406616,150
True,200,6914.255857467651,150
True,200,6900.159597396851,150
True,200,6913.402795791626,150
True,200,6916.4135456085205,150
True,200,6900.87366104126,150
True,200,6849.125146865845,150
True,200,6856.968879699707,150
True,200,6920.736789703369,150
True,200,7096.53115272522,150
True,200,6947.968006134033,150
True,200,6870.956659317017,150
True,200,6905.221223831177,150
True,200,6809.862375259399,150
True,200,6865.031719207764,150
True,200,6837.556838989258,150
True,200,6892.211437225342,150
True,200,6942.417860031128,150
True,200,6913.8288497924805,150
True,200,6873.512268066406,150
True,200,6913.765430450439,150
True,200,6893.36895942688,150
True,200,7054.722547531128,150
True,200,6960.802316665649,150
True,200,6686.33770942688,150
True,200,6759.984493255615,150
True,200,6879.2595863342285,150
True,200,6968.495845794678,150
True,200,6894.289016723633,150
True,200,6861.572265625,150
True,200,6924.576044082642,150
True,200,6899.618625640869,150
True,200,6954.061269760132,150
True,200,6970.598459243774,150
True,200,6905.618906021118,150
True,200,6897.744417190552,150
True,200,6931.239128112793,150
True,200,6907.68027305603,150
True,200,6842.245817184448,150
True,200,6971.488952636719,150
True,200,6951.289653778076,150
True,200,6855.0567626953125,150
True,200,6904.1428565979,150
True,200,6891.577243804932,150
True,200,6906.383514404297,150
True,200,6901.729583740234,150
True,200,6888.13591003418,150
True,200,6912.398099899292,150
