ok,status,latency_ms,tokens_generated
True,200,4595.729351043701,150
True,200,8099.79510307312,150
True,200,11279.999256134033,150
True,200,14874.627590179443,150
True,200,13601.992845535278,150
True,200,13554.137468338013,150
True,200,13852.67448425293,150
True,200,13687.767505645752,150
True,200,13835.172891616821,150
True,200,13818.392753601074,150
True,200,13807.148456573486,150
True,200,13810.265064239502,150
True,200,13800.432920455933,150
True,200,13789.802074432373,150
True,200,13815.728664398193,150
True,200,13864.908456802368,150
True,200,13860.65649986267,150
True,200,13862.479448318481,150
True,200,13852.670192718506,150
True,200,13861.603736877441,150
True,200,13851.173639297485,150
True,200,13874.67336654663,150
True,200,13841.935396194458,150
True,200,13804.356575012207,150
True,200,13805.814266204834,150
True,200,13799.822807312012,150
True,200,13811.85245513916,150
True,200,13804.088115692139,150
True,200,13796.60177230835,150
True,200,13780.956268310547,150
