ok,status,latency_ms,tokens_generated
True,200,3107.117176055908,150
True,200,3189.002513885498,150
True,200,6525.544881820679,150
True,200,6650.765180587769,150
True,200,6863.271474838257,150
True,200,6921.797275543213,150
True,200,6881.15119934082,150
True,200,6920.026063919067,150
True,200,6929.301023483276,150
True,200,6898.73480796814,150
True,200,6924.744606018066,150
True,200,6899.169445037842,150
True,200,6858.105421066284,150
True,200,6849.729776382446,150
True,200,6867.642164230347,150
True,200,6906.8803787231445,150
True,200,6912.143707275391,150
True,200,6979.69913482666,150
True,200,6972.57137298584,150
True,200,6895.72548866272,150
True,200,7020.9972858428955,150
True,200,6930.721282958984,150
True,200,6995.541095733643,150
True,200,6997.120380401611,150
True,200,6997.760057449341,150
True,200,6930.952787399292,150
True,200,6968.765497207642,150
True,200,6875.586748123169,150
True,200,6889.823436737061,150
True,200,6918.875455856323,150
