ok,status,latency_ms,tokens_generated
True,200,4330.028533935547,150
True,200,7954.113245010376,150
True,200,11221.648931503296,150
True,200,14686.332702636719,150
True,200,13823.171377182007,150
True,200,13684.900045394897,150
True,200,14072.046518325806,150
True,200,13915.38667678833,150
True,200,13919.86608505249,150
True,200,13921.249628067017,150
True,200,13701.255321502686,150
True,200,13855.746269226074,150
True,200,13814.228057861328,150
True,200,13792.797565460205,150
True,200,13812.630891799927,150
True,200,13804.310083389282,150
True,200,13796.463012695312,150
True,200,13804.898262023926,150
True,200,13815.978288650513,150
True,200,13795.700073242188,150
