ok,status,latency_ms,tokens_generated
True,200,4123.207807540894,150
True,200,3429.718494415283,150
True,200,3520.1284885406494,150
True,200,3483.9510917663574,150
True,200,3431.029796600342,150
True,200,3442.6965713500977,150
True,200,3378.129720687866,150
True,200,3568.544864654541,150
True,200,3379.5645236968994,150
True,200,3435.2943897247314,150
True,200,3537.8332138061523,150
True,200,3346.2634086608887,150
True,200,3504.1747093200684,150
True,200,3397.2766399383545,150
True,200,3478.440046310425,150
True,200,3413.3102893829346,150
True,200,3488.4791374206543,150
True,200,3411.1883640289307,150
True,200,3421.2121963500977,150
True,200,3666.5279865264893,150
True,200,3281.681776046753,150
True,200,3456.2668800354004,150
True,200,3470.953941345215,150
True,200,3517.2531604766846,150
True,200,3350.2864837646484,150
True,200,3560.814142227173,150
True,200,3533.7612628936768,150
True,200,3378.603935241699,150
True,200,3446.815013885498,150
True,200,3433.804750442505,150
True,200,2222.3620414733887,78
True,200,5819.518327713013,150
True,200,9338.436841964722,150
True,200,12769.912719726562,150
True,200,13994.789123535156,150
True,200,13827.527523040771,150
True,200,13773.283958435059,150
True,200,13776.273012161255,150
True,200,13940.104246139526,150
True,200,13898.537397384644,150
True,200,14075.289249420166,150
True,200,13922.826528549194,150
True,200,13640.286922454834,150
True,200,13883.37516784668,150
True,200,13634.408712387085,150
True,200,13683.540344238281,150
True,200,14044.611930847168,150
True,200,14130.626916885376,150
True,200,13814.09239768982,150
True,200,13861.035823822021,150
True,200,13856.893539428711,150
True,200,13532.068490982056,150
True,200,13992.422819137573,150
True,200,13923.398971557617,150
True,200,13626.827478408813,150
True,200,13650.786876678467,150
True,200,13654.503583908081,150
True,200,13723.400592803955,150
True,200,13916.497230529785,150
True,200,14091.142177581787,150
