ok,status,latency_ms,tokens_generated
True,200,4689.690589904785,150
True,200,8130.675315856934,150
True,200,11794.01707649231,150
True,200,15043.962001800537,150
True,200,13901.375532150269,150
True,200,13999.266862869263,150
True,200,13812.847137451172,150
True,200,13814.183950424194,150
True,200,13833.371639251709,150
True,200,13827.341556549072,150
True,200,13572.80969619751,150
True,200,14056.30898475647,150
True,200,13698.299884796143,150
True,200,13708.568334579468,150
True,200,14000.311136245728,150
True,200,13582.46660232544,150
True,200,13934.53049659729,150
True,200,14042.590618133545,150
True,200,13769.677877426147,150
True,200,14169.068336486816,150
True,200,13772.45283126831,150
True,200,13603.171348571777,150
True,200,13835.630416870117,150
True,200,13895.416498184204,150
True,200,14442.832708358765,150
True,200,14144.822120666504,150
True,200,14143.832206726074,150
True,200,13958.026885986328,150
True,200,13501.151323318481,150
True,200,13969.046115875244,150
